State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars),Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches),Allsky_Sfc_Par_Tot,Allsky_Sfc_Sw_Diff,Allsky_Sfc_Sw_Dni,Allsky_Sfc_Sw_Dwn,Allsky_Sfc_Uva,Allsky_Sfc_Uvb,Allsky_Sfc_Uv_Index,Allsky_Srf_Alb,Cloud_Amt,Clrsky_Sfc_Par_Tot,Clrsky_Sfc_Sw_Dwn,Gwetprof,Gwetroot,Gwettop,Ps,Qv2M,Rh2M,T2Mdew,T2Mwet,Toa_Sw_Dwn,Ts,Wd10M,Wd2M,Ws10M,Ws2M
alabama,1988,55527.3,4023842,13800,3057500.0,1874602.6666666667,61.30833333333334,1738008.25,56.85833333333333,136594.41666666666,7.2749999999999995,WHEAT,200000.0,8600000.0,43.0,62.1,1761.0,3042.0,74.1,50.0,-3.36,-3.36,-3.36,-0.28,51.1,,,,15.61,,,,0.11,60.84,,20.96,0.61,0.61,0.64,99.52,9.28,75.62,10.94,13.55,30.8,16.03,197.56,204.06,1.95,0.25
alabama,1988,55527.3,4023842,13800,3057500.0,1874602.6666666667,61.30833333333334,1738008.25,56.85833333333333,136594.41666666666,7.2749999999999995,POTATOES,12600.0,9547000.0,108.0,62.1,1761.0,3042.0,74.1,50.0,-3.36,-3.36,-3.36,-0.28,51.1,,,,15.61,,,,0.11,60.84,,20.96,0.61,0.61,0.64,99.52,9.28,75.62,10.94,13.55,30.8,16.03,197.56,204.06,1.95,0.25
alabama,1988,55527.3,4023842,13800,3057500.0,1874602.6666666667,61.30833333333334,1738008.25,56.85833333333333,136594.41666666666,7.2749999999999995,CORN,170000.0,20944000.0,44.0,62.1,1761.0,3042.0,74.1,50.0,-3.36,-3.36,-3.36,-0.28,51.1,,,,15.61,,,,0.11,60.84,,20.96,0.61,0.61,0.64,99.52,9.28,75.62,10.94,13.55,30.8,16.03,197.56,204.06,1.95,0.25
alabama,1988,55527.3,4023842,13800,3057500.0,1874602.6666666667,61.30833333333334,1738008.25,56.85833333333333,136594.41666666666,7.2749999999999995,COTTON,375000.0,97219000.0,486.0,62.1,1761.0,3042.0,74.1,50.0,-3.36,-3.36,-3.36,-0.28,51.1,,,,15.61,,,,0.11,60.84,,20.96,0.61,0.61,0.64,99.52,9.28,75.62,10.94,13.55,30.8,16.03,197.56,204.06,1.95,0.25
alabama,2010,162068.8,4787998,33849,3690246.75,2196694.4166666665,59.50833333333333,1968756.75,53.34166666666667,227937.66666666666,10.375,WHEAT,80000.0,4400000.0,55.0,62.7,2291.0,3318.0,74.7,50.7,-1.71,0.64,-1.63,-0.9,47.19,92.29,5.94,19.38,17.61,11.89,0.27,,0.12,42.44,111.11,21.39,0.69,0.7,0.7,99.34,9.95,74.88,11.35,13.99,30.83,16.49,284.31,279.75,1.95,0.26
alabama,2010,162068.8,4787998,33849,3690246.75,2196694.4166666665,59.50833333333333,1968756.75,53.34166666666667,227937.66666666666,10.375,CORN,250000.0,145763000.0,115.0,62.7,2291.0,3318.0,74.7,50.7,-1.71,0.64,-1.63,-0.9,47.19,92.29,5.94,19.38,17.61,11.89,0.27,,0.12,42.44,111.11,21.39,0.69,0.7,0.7,99.34,9.95,74.88,11.35,13.99,30.83,16.49,284.31,279.75,1.95,0.26
alabama,2010,162068.8,4787998,33849,3690246.75,2196694.4166666665,59.50833333333333,1968756.75,53.34166666666667,227937.66666666666,10.375,COTTON,338000.0,199526000.0,682.0,62.7,2291.0,3318.0,74.7,50.7,-1.71,0.64,-1.63,-0.9,47.19,92.29,5.94,19.38,17.61,11.89,0.27,,0.12,42.44,111.11,21.39,0.69,0.7,0.7,99.34,9.95,74.88,11.35,13.99,30.83,16.49,284.31,279.75,1.95,0.26
alabama,1999,103204.1,4430141,23296,3361671.9166666665,2150126.5,63.958333333333336,2048691.75,60.94166666666666,101434.75,4.7250000000000005,WHEAT,90000.0,4320000.0,48.0,64.1,1959.0,2458.0,76.4,51.9,-1.0,-1.0,-1.0,-0.59,49.01,,,,16.93,,,,0.09,50.2,,21.27,0.59,0.6,0.62,99.47,9.64,73.06,11.58,14.48,30.84,17.23,278.62,262.75,1.99,0.26
alabama,1999,103204.1,4430141,23296,3361671.9166666665,2150126.5,63.958333333333336,2048691.75,60.94166666666666,101434.75,4.7250000000000005,POTATOES,3800.0,6293000.0,203.0,64.1,1959.0,2458.0,76.4,51.9,-1.0,-1.0,-1.0,-0.59,49.01,,,,16.93,,,,0.09,50.2,,21.27,0.59,0.6,0.62,99.47,9.64,73.06,11.58,14.48,30.84,17.23,278.62,262.75,1.99,0.26
alabama,1999,103204.1,4430141,23296,3361671.9166666665,2150126.5,63.958333333333336,2048691.75,60.94166666666666,101434.75,4.7250000000000005,CORN,200000.0,46556000.0,103.0,64.1,1959.0,2458.0,76.4,51.9,-1.0,-1.0,-1.0,-0.59,49.01,,,,16.93,,,,0.09,50.2,,21.27,0.59,0.6,0.62,99.47,9.64,73.06,11.58,14.48,30.84,17.23,278.62,262.75,1.99,0.26
