Year,State,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches),Allsky_Sfc_Par_Tot,Allsky_Sfc_Sw_Diff,Allsky_Sfc_Sw_Dni,Allsky_Sfc_Sw_Dwn,Allsky_Sfc_Uva,Allsky_Sfc_Uvb,Allsky_Sfc_Uv_Index,Allsky_Srf_Alb,Cloud_Amt,Clrsky_Sfc_Par_Tot,Clrsky_Sfc_Sw_Dwn,Gwetprof,Gwetroot,Gwettop,Ps,Qv2M,Rh2M,T2Mdew,T2Mwet,Toa_Sw_Dwn,Ts,Wd10M,Wd2M,Ws10M,Ws2M
1981,alabama,WHEAT,565000.0,24860000.0,44.0,62.0,1793.0,3126.0,74.3,49.6,-2.54,-2.54,-2.38,-0.81,45.8,,,,,,,,,,,,0.55,0.55,0.57,99.48,8.91,70.69,10.05,13.23,,16.26,271.69,248.38,1.94,0.26
1981,alabama,POTATOES,13100.0,22859000.0,159.0,62.0,1793.0,3126.0,74.3,49.6,-2.54,-2.54,-2.38,-0.81,45.8,,,,,,,,,,,,0.55,0.55,0.57,99.48,8.91,70.69,10.05,13.23,,16.26,271.69,248.38,1.94,0.26
1981,alabama,CORN,530000.0,78705000.0,55.0,62.0,1793.0,3126.0,74.3,49.6,-2.54,-2.54,-2.38,-0.81,45.8,,,,,,,,,,,,0.55,0.55,0.57,99.48,8.91,70.69,10.05,13.23,,16.26,271.69,248.38,1.94,0.26
1981,alabama,COTTON,372000.0,113231000.0,545.0,62.0,1793.0,3126.0,74.3,49.6,-2.54,-2.54,-2.38,-0.81,45.8,,,,,,,,,,,,0.55,0.55,0.57,99.48,8.91,70.69,10.05,13.23,,16.26,271.69,248.38,1.94,0.26
1981,arizona,WHEAT,258000.0,21844000.0,84.7,61.3,2987.0,1782.0,75.4,47.3,-2.39,-2.39,-2.39,-0.66,12.47,,,,,,,,,,,,0.5,0.48,0.48,80.88,5.19,50.62,-0.46,5.48,,10.68,215.31,225.62,2.45,0.47
1981,arizona,POTATOES,5200.0,10993000.0,280.0,61.3,2987.0,1782.0,75.4,47.3,-2.39,-2.39,-2.39,-0.66,12.47,,,,,,,,,,,,0.5,0.48,0.48,80.88,5.19,50.62,-0.46,5.48,,10.68,215.31,225.62,2.45,0.47
1981,arizona,CORN,30000.0,11895000.0,130.0,61.3,2987.0,1782.0,75.4,47.3,-2.39,-2.39,-2.39,-0.66,12.47,,,,,,,,,,,,0.5,0.48,0.48,80.88,5.19,50.62,-0.46,5.48,,10.68,215.31,225.62,2.45,0.47
1981,arizona,COTTON,599000.0,425722000.0,1247.0,61.3,2987.0,1782.0,75.4,47.3,-2.39,-2.39,-2.39,-0.66,12.47,,,,,,,,,,,,0.5,0.48,0.48,80.88,5.19,50.62,-0.46,5.48,,10.68,215.31,225.62,2.45,0.47
1981,arkansas,WHEAT,1650000.0,67650000.0,41.0,60.2,1637.0,3546.0,71.5,48.9,1.71,1.71,1.71,-0.27,43.09,,,,,,,,,,,,0.62,0.64,0.66,100.08,9.16,73.81,10.27,12.95,,15.73,192.44,193.69,2.72,1.43
1981,arkansas,CORN,49000.0,8982000.0,65.0,60.2,1637.0,3546.0,71.5,48.9,1.71,1.71,1.71,-0.27,43.09,,,,,,,,,,,,0.62,0.64,0.66,100.08,9.16,73.81,10.27,12.95,,15.73,192.44,193.69,2.72,1.43
1981,arkansas,RICE,1540000.0,652246000.0,4520.0,60.2,1637.0,3546.0,71.5,48.9,1.71,1.71,1.71,-0.27,43.09,,,,,,,,,,,,0.62,0.64,0.66,100.08,9.16,73.81,10.27,12.95,,15.73,192.44,193.69,2.72,1.43
1981,arkansas,COTTON,560000.0,164675000.0,518.0,60.2,1637.0,3546.0,71.5,48.9,1.71,1.71,1.71,-0.27,43.09,,,,,,,,,,,,0.62,0.64,0.66,100.08,9.16,73.81,10.27,12.95,,15.73,192.44,193.69,2.72,1.43
1981,california,WHEAT,1345000.0,105545000.0,78.5,59.3,914.0,2816.0,71.6,47.0,-2.64,-2.64,-2.64,0.08,26.24,,,,,,,,,,,,0.46,0.47,0.35,98.52,5.07,43.69,3.16,11.0,,18.64,308.62,286.56,2.39,1.52
1981,california,POTATOES,56300.0,217402000.0,374.0,59.3,914.0,2816.0,71.6,47.0,-2.64,-2.64,-2.64,0.08,26.24,,,,,,,,,,,,0.46,0.47,0.35,98.52,5.07,43.69,3.16,11.0,,18.64,308.62,286.56,2.39,1.52
1981,california,CORN,275000.0,119763000.0,130.0,59.3,914.0,2816.0,71.6,47.0,-2.64,-2.64,-2.64,0.08,26.24,,,,,,,,,,,,0.46,0.47,0.35,98.52,5.07,43.69,3.16,11.0,,18.64,308.62,286.56,2.39,1.52
1981,california,RICE,593000.0,300791000.0,6900.0,59.3,914.0,2816.0,71.6,47.0,-2.64,-2.64,-2.64,0.08,26.24,,,,,,,,,,,,0.46,0.47,0.35,98.52,5.07,43.69,3.16,11.0,,18.64,308.62,286.56,2.39,1.52
1981,california,COTTON,1530000.0,1079165000.0,1109.0,59.3,914.0,2816.0,71.6,47.0,-2.64,-2.64,-2.64,0.08,26.24,,,,,,,,,,,,0.46,0.47,0.35,98.52,5.07,43.69,3.16,11.0,,18.64,308.62,286.56,2.39,1.52
1981,california,BEANS,224000.0,117814000.0,1833.0,59.3,914.0,2816.0,71.6,47.0,-2.64,-2.64,-2.64,0.08,26.24,,,,,,,,,,,,0.46,0.47,0.35,98.52,5.07,43.69,3.16,11.0,,18.64,308.62,286.56,2.39,1.52
1981,colorado,WHEAT,3108000.0,87877000.0,28.3,47.1,288.0,6679.0,60.8,33.4,-3.45,-3.45,-3.1,-1.11,18.79,,,,,,,,,,,,0.41,0.4,0.39,72.78,4.09,54.75,-5.02,-0.09,,5.3,278.25,278.06,4.08,2.7
1981,colorado,POTATOES,46800.0,63451000.0,289.0,47.1,288.0,6679.0,60.8,33.4,-3.45,-3.45,-3.1,-1.11,18.79,,,,,,,,,,,,0.41,0.4,0.39,72.78,4.09,54.75,-5.02,-0.09,,5.3,278.25,278.06,4.08,2.7
1981,colorado,CORN,770000.0,261954000.0,135.0,47.1,288.0,6679.0,60.8,33.4,-3.45,-3.45,-3.1,-1.11,18.79,,,,,,,,,,,,0.41,0.4,0.39,72.78,4.09,54.75,-5.02,-0.09,,5.3,278.25,278.06,4.08,2.7
