State,Year,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches)
Alabama,1974,63.1,1594.0,2517.0,75.0,51.2,1.99,1.99,1.99,0.68,60.4
Alabama,1975,62.8,1659.0,2687.0,74.1,51.6,4.54,4.54,4.54,1.86,74.76
Alabama,1976,60.7,1424.0,3275.0,72.9,48.4,2.65,2.65,2.28,0.41,55.98
Alabama,1977,62.5,2020.0,3161.0,74.4,50.6,-1.96,-1.96,-1.96,0.01,57.87
Alabama,1978,61.9,1935.0,3317.0,73.9,49.8,-0.37,0.88,0.12,-0.42,49.5
Alabama,1979,61.4,1614.0,3184.0,72.7,50.0,2.32,2.32,2.32,1.25,67.92
Alabama,1980,62.5,2029.0,3174.0,74.5,50.5,-2.11,1.03,-1.58,0.02,58.48
Alabama,1981,62.0,1793.0,3126.0,74.3,49.6,-2.54,-2.54,-2.38,-0.81,45.8
Alabama,1982,63.3,1755.0,2622.0,74.8,51.9,0.73,0.73,0.73,0.45,61.13
Alabama,1983,61.2,1684.0,3278.0,72.5,49.9,1.72,1.72,-0.28,1.22,70.37
Alabama,1984,62.8,1720.0,2750.0,74.9,50.8,0.84,1.79,1.42,-0.26,50.53
Alabama,1985,62.8,1832.0,2900.0,74.1,51.5,0.96,0.96,0.96,-0.09,51.31
Alabama,1986,64.1,2032.0,2611.0,75.8,52.4,-3.35,-3.35,-3.35,-0.85,47.77
Alabama,1987,63.0,1902.0,2806.0,75.1,51.0,-1.64,-1.64,-1.64,-0.69,48.13
Alabama,1988,62.1,1761.0,3042.0,74.1,50.0,-3.36,-3.36,-3.36,-0.28,51.1
Alabama,1989,62.2,1635.0,2916.0,73.3,51.1,2.59,2.59,2.07,1.09,65.2
Alabama,1990,64.9,1948.0,2234.0,77.3,52.5,-1.89,0.69,-1.74,-0.28,56.87
Alabama,1991,64.0,1974.0,2552.0,74.9,53.1,-0.29,1.86,1.34,0.54,63.25
Alabama,1992,62.1,1531.0,2818.0,73.2,51.0,1.49,1.49,1.49,0.7,59.79
Alabama,1993,62.3,1846.0,3028.0,73.8,50.9,-1.55,-1.55,-1.55,-0.43,50.28
Alabama,1994,63.1,1665.0,2607.0,74.1,52.0,2.02,2.02,1.76,0.65,60.33
Alabama,1995,63.0,1922.0,2871.0,74.6,51.5,-1.53,-1.53,-1.53,0.25,59.57
Alabama,1996,62.1,1714.0,3004.0,73.7,50.6,1.29,1.29,0.46,0.31,58.33
Alabama,1997,62.4,1636.0,2854.0,73.5,51.3,2.11,2.11,1.75,0.87,62.96
Alabama,1998,65.1,2239.0,2415.0,76.3,53.9,-1.85,-1.85,-1.85,-0.12,59.26
Alabama,1999,64.1,1959.0,2458.0,76.4,51.9,-1.0,-1.0,-1.0,-0.59,49.01
