State,Year,January-December Maximum Temperature (Units Degrees Fahrenheit)
Arizona,1976,73.5
Arizona,1977,74.5
Arizona,1978,73.3
Arizona,1979,73.2
Arizona,1980,74.5
Arizona,1981,75.4
Arizona,1982,72.0
Arizona,1983,72.3
Arizona,1984,73.3
Arizona,1985,73.4
Arizona,1986,74.4
Arizona,1987,73.2
Arizona,1988,74.5
Arizona,1989,76.3
Arizona,1990,73.8
Arizona,1991,73.1
Arizona,1992,73.1
Arizona,1993,73.7
Arizona,1994,74.7
Arizona,1995,75.2
Arizona,1996,76.4
Arizona,1997,74.5
Arizona,1998,73.2
Arizona,1999,75.7
Arizona,2000,76.1
Arizona,2001,75.5
Arizona,2002,76.0
Arizona,2003,76.2
Arizona,2004,74.2
Arizona,2005,75.1
Arizona,2006,75.7
Arizona,2007,75.9
Arizona,2008,74.9
Arizona,2009,75.5
Arizona,2010,74.2
Arizona,2011,74.8
Arizona,2012,76.8
Arizona,2013,74.6
Arizona,2014,76.5
Arizona,2015,75.5
Arizona,2016,76.4
Arizona,2017,77.5
Arizona,2018,76.5
Arizona,2019,74.2
Arizona,2020,77.7
Arizona,2021,76.4
Arizona,2022,75.5
Arizona,2023,75.0
Arkansas,1974,71.0
Arkansas,1975,70.8
Arkansas,1976,70.6
Arkansas,1977,72.1
Arkansas,1978,70.2
Arkansas,1979,68.8
Arkansas,1980,72.3
Arkansas,1981,71.5
Arkansas,1982,70.8
Arkansas,1983,69.6
Arkansas,1984,71.1
Arkansas,1985,70.7
Arkansas,1986,72.5
Arkansas,1987,72.6
Arkansas,1988,71.7
Arkansas,1989,69.9
Arkansas,1990,73.2
Arkansas,1991,71.7
Arkansas,1992,70.5
Arkansas,1993,69.9
Arkansas,1994,71.1
Arkansas,1995,71.7
Arkansas,1996,70.4
Arkansas,1997,70.4
Arkansas,1998,73.6
Arkansas,1999,73.9
Arkansas,2000,72.0
Arkansas,2001,72.2
Arkansas,2002,71.1
Arkansas,2003,71.0
Arkansas,2004,71.4
Arkansas,2005,73.3
Arkansas,2006,73.6
Arkansas,2007,72.6
Arkansas,2008,70.8
Arkansas,2009,70.1
Arkansas,2010,72.3
Arkansas,2011,73.1
Arkansas,2012,75.2
Arkansas,2013,70.2
Arkansas,2014,69.2
Arkansas,2015,71.9
Arkansas,2016,73.5
Arkansas,2017,73.3
Arkansas,2018,71.5
Arkansas,2019,71.6
Arkansas,2020,71.3
Arkansas,2021,72.0
Arkansas,2022,72.6
Arkansas,2023,74.0
California,1974,70.2
California,1975,68.7
California,1976,70.5
California,1977,70.6
California,1978,69.6
California,1979,70.1
California,1980,70.5
California,1981,71.6
California,1982,67.9
California,1983,68.6
California,1984,70.4
California,1985,69.9
California,1986,71.2
California,1987,70.8
California,1988,71.7
California,1989,71.1
California,1990,70.9
California,1991,70.8
California,1992,71.5
California,1993,69.8
California,1994,70.6
California,1995,71.0
California,1996,72.0
California,1997,71.5
California,1998,68.3
California,1999,70.8
California,2000,71.3
California,2001,71.7
California,2002,72.0
California,2003,71.9
California,2004,71.4
California,2005,70.8
California,2006,71.3
California,2007,72.0
California,2008,71.9
California,2009,71.7
California,2010,69.8
California,2011,70.0
California,2012,72.5
California,2013,72.6
California,2014,74.2
California,2015,73.4
California,2016,72.5
California,2017,72.7
California,2018,72.7
California,2019,70.4
California,2020,73.6
California,2021,73.1
California,2022,73.3
California,2023,70.1
Colorado,1974,58.6
Colorado,1975,57.5
Colorado,1976,59.1
Colorado,1977,60.3
Colorado,1978,58.0
Colorado,1979,57.1
Colorado,1980,59.4
Colorado,1981,60.8
Colorado,1982,57.3
Colorado,1983,57.1
Colorado,1984,56.6
Colorado,1985,57.3
Colorado,1986,59.7
Colorado,1987,58.9
Colorado,1988,59.1
Colorado,1989,59.5
Colorado,1990,59.2
Colorado,1991,58.6
Colorado,1992,58.7
Colorado,1993,57.0
Colorado,1994,60.4
Colorado,1995,59.2
Colorado,1996,59.7
Colorado,1997,58.1
Colorado,1998,59.6
Colorado,1999,60.7
Colorado,2000,61.0
Colorado,2001,60.8
Colorado,2002,60.5
Colorado,2003,61.0
Colorado,2004,59.5
Colorado,2005,60.6
Colorado,2006,60.6
Colorado,2007,60.0
Colorado,2008,59.0
Colorado,2009,58.8
Colorado,2010,60.0
Colorado,2011,59.5
Colorado,2012,63.0
Colorado,2013,58.9
Colorado,2014,59.7
Colorado,2015,60.8
Colorado,2016,61.3
Colorado,2017,61.8
Colorado,2018,61.3
Colorado,2019,59.0
Colorado,2020,61.8
Colorado,2021,61.5
Colorado,2022,60.5
Colorado,2023,59.6
Connecticut,1974,58.5
Connecticut,1975,58.9
Connecticut,1976,58.2
Connecticut,1977,58.3
Connecticut,1978,57.1
Connecticut,1979,58.4
Connecticut,1980,58.5
Connecticut,1981,58.7
Connecticut,1982,58.5
Connecticut,1983,59.6
Connecticut,1984,59.0
Connecticut,1985,58.9
Connecticut,1986,58.7
Connecticut,1987,59.2
Connecticut,1988,58.9
Connecticut,1989,58.2
Connecticut,1990,61.3
Connecticut,1991,61.5
Connecticut,1992,57.6
Connecticut,1993,59.0
Connecticut,1994,59.4
Connecticut,1995,59.3
Connecticut,1996,58.1
Connecticut,1997,58.8
Connecticut,1998,61.6
Connecticut,1999,61.5
Connecticut,2000,58.6
Connecticut,2001,60.9
Connecticut,2002,60.7
Connecticut,2003,57.9
Connecticut,2004,58.6
Connecticut,2005,59.8
Connecticut,2006,61.1
Connecticut,2007,59.8
Connecticut,2008,59.9
Connecticut,2009,58.5
Connecticut,2010,61.2
Connecticut,2011,60.7
Connecticut,2012,62.2
Connecticut,2013,59.6
Connecticut,2014,58.7
Connecticut,2015,60.4
Connecticut,2016,62.2
Connecticut,2017,60.7
Connecticut,2018,60.0
Connecticut,2019,59.4
Connecticut,2020,61.7
Connecticut,2021,60.9
Connecticut,2022,61.4
Connecticut,2023,62.0
Delaware,1974,65.0
Delaware,1975,64.9
Delaware,1976,64.4
Delaware,1977,64.8
Delaware,1978,62.9
Delaware,1979,63.4
Delaware,1980,64.1
Delaware,1981,63.5
Delaware,1982,64.0
Delaware,1983,64.8
Delaware,1984,64.4
Delaware,1985,65.4
Delaware,1986,65.2
Delaware,1987,65.0
Delaware,1988,64.5
Delaware,1989,63.6
Delaware,1990,67.4
Delaware,1991,67.3
Delaware,1992,63.5
Delaware,1993,64.7
Delaware,1994,65.4
Delaware,1995,65.2
Delaware,1996,63.5
Delaware,1997,64.9
Delaware,1998,67.5
Delaware,1999,66.9
Delaware,2000,64.8
Delaware,2001,66.5
Delaware,2002,67.4
Delaware,2003,64.0
Delaware,2004,65.3
Delaware,2005,65.5
Delaware,2006,67.5
Delaware,2007,66.4
Delaware,2008,66.6
Delaware,2009,64.8
Delaware,2010,66.5
Delaware,2011,67.4
Delaware,2012,68.6
Delaware,2013,65.2
Delaware,2014,64.6
Delaware,2015,66.2
Delaware,2016,67.2
Delaware,2017,67.1
Delaware,2018,66.3
Delaware,2019,67.2
Delaware,2020,67.7
Delaware,2021,67.2
Delaware,2022,66.6
Delaware,2023,67.8
Florida,1974,82.0
Florida,1975,82.0
Florida,1976,80.0
Florida,1977,80.6
Florida,1978,80.5
Florida,1979,80.5
Florida,1980,80.8
Florida,1981,81.0
Florida,1982,81.9
Florida,1983,79.6
Florida,1984,80.8
Florida,1985,81.6
Florida,1986,82.1
Florida,1987,80.8
Florida,1988,80.6
Florida,1989,81.9
Florida,1990,83.6
Florida,1991,81.9
Florida,1992,80.6
Florida,1993,81.0
Florida,1994,81.5
Florida,1995,81.2
Florida,1996,80.7
Florida,1997,81.6
Florida,1998,82.8
Florida,1999,82.2
Florida,2000,82.1
Florida,2001,81.7
Florida,2002,81.8
Florida,2003,81.2
Florida,2004,81.4
Florida,2005,81.0
Florida,2006,82.5
Florida,2007,82.4
Florida,2008,81.5
Florida,2009,81.7
Florida,2010,80.1
Florida,2011,82.8
Florida,2012,82.4
Florida,2013,81.8
Florida,2014,81.1
Florida,2015,83.2
Florida,2016,82.8
Florida,2017,83.2
Florida,2018,82.3
Florida,2019,83.3
Florida,2020,83.2
Florida,2021,82.2
Florida,2022,82.8
Florida,2023,83.4
Georgia,1974,75.8
Georgia,1975,75.1
Georgia,1976,73.7
Georgia,1977,74.9
Georgia,1978,74.5
Georgia,1979,73.7
Georgia,1980,74.8
Georgia,1981,74.7
Georgia,1982,75.2
Georgia,1983,73.4
Georgia,1984,75.4
Georgia,1985,75.1
Georgia,1986,76.7
Georgia,1987,75.0
Georgia,1988,74.5
Georgia,1989,74.5
Georgia,1990,78.0
Georgia,1991,75.4
Georgia,1992,73.7
Georgia,1993,74.8
Georgia,1994,74.6
Georgia,1995,74.9
Georgia,1996,74.4
Georgia,1997,74.4
Georgia,1998,76.9
Georgia,1999,76.6
Georgia,2000,75.6
Georgia,2001,75.9
Georgia,2002,75.8
Georgia,2003,74.3
Georgia,2004,75.1
Georgia,2005,74.9
Georgia,2006,76.8
Georgia,2007,77.0
Georgia,2008,75.3
Georgia,2009,74.3
Georgia,2010,74.9
Georgia,2011,76.9
Georgia,2012,77.1
Georgia,2013,74.1
Georgia,2014,74.6
Georgia,2015,76.0
Georgia,2016,77.7
Georgia,2017,77.1
Georgia,2018,75.9
Georgia,2019,77.7
Georgia,2020,76.5
Georgia,2021,75.8
Georgia,2022,76.6
Georgia,2023,77.1
Idaho,1974,55.0
Idaho,1975,52.0
Idaho,1976,54.3
Idaho,1977,54.8
Idaho,1978,53.7
Idaho,1979,54.6
Idaho,1980,54.5
Idaho,1981,56.0
Idaho,1982,51.9
Idaho,1983,53.5
Idaho,1984,51.6
Idaho,1985,51.7
Idaho,1986,55.7
Idaho,1987,57.1
Idaho,1988,56.5
Idaho,1989,54.5
Idaho,1990,55.5
Idaho,1991,54.9
Idaho,1992,57.1
Idaho,1993,52.2
Idaho,1994,56.4
Idaho,1995,54.9
Idaho,1996,54.8
Idaho,1997,54.7
Idaho,1998,55.5
Idaho,1999,55.7
Idaho,2000,55.8
Idaho,2001,56.5
Idaho,2002,55.0
Idaho,2003,57.3
Idaho,2004,55.6
Idaho,2005,55.5
Idaho,2006,56.3
Idaho,2007,57.1
Idaho,2008,54.7
Idaho,2009,54.7
Idaho,2010,54.7
Idaho,2011,54.0
Idaho,2012,57.3
Idaho,2013,55.8
Idaho,2014,56.8
Idaho,2015,58.3
Idaho,2016,56.8
Idaho,2017,55.8
Idaho,2018,56.2
Idaho,2019,54.4
Idaho,2020,56.5
Idaho,2021,57.4
Idaho,2022,55.7
Idaho,2023,55.4
Illinois,1974,61.4
Illinois,1975,61.8
Illinois,1976,61.8
Illinois,1977,61.7
Illinois,1978,59.7
Illinois,1979,59.7
Illinois,1980,61.6
Illinois,1981,62.0
Illinois,1982,60.7
Illinois,1983,61.7
Illinois,1984,61.7
Illinois,1985,60.8
Illinois,1986,62.8
Illinois,1987,64.6
Illinois,1988,63.7
Illinois,1989,60.9
Illinois,1990,63.8
Illinois,1991,63.8
Illinois,1992,61.7
Illinois,1993,60.0
Illinois,1994,62.4
Illinois,1995,61.8
Illinois,1996,60.2
Illinois,1997,60.7
Illinois,1998,64.6
Illinois,1999,64.3
Illinois,2000,62.4
Illinois,2001,63.7
Illinois,2002,63.4
Illinois,2003,62.1
Illinois,2004,62.6
Illinois,2005,64.0
Illinois,2006,64.1
Illinois,2007,64.1
Illinois,2008,61.1
Illinois,2009,61.1
Illinois,2010,63.1
Illinois,2011,62.9
Illinois,2012,66.9
Illinois,2013,61.1
Illinois,2014,59.5
Illinois,2015,62.9
Illinois,2016,64.5
Illinois,2017,64.8
Illinois,2018,62.3
Illinois,2019,61.8
Illinois,2020,63.2
Illinois,2021,63.6
Illinois,2022,62.5
Illinois,2023,65.3
Indiana,1974,61.2
Indiana,1975,61.8
Indiana,1976,61.3
Indiana,1977,61.4
Indiana,1978,59.4
Indiana,1979,59.4
Indiana,1980,60.8
Indiana,1981,61.0
Indiana,1982,61.0
Indiana,1983,61.9
Indiana,1984,61.2
Indiana,1985,61.1
Indiana,1986,62.2
Indiana,1987,63.7
Indiana,1988,62.7
Indiana,1989,60.3
Indiana,1990,63.5
Indiana,1991,63.7
Indiana,1992,60.9
Indiana,1993,60.1
Indiana,1994,62.0
Indiana,1995,61.8
Indiana,1996,60.0
Indiana,1997,60.3
Indiana,1998,64.8
Indiana,1999,64.3
Indiana,2000,61.9
Indiana,2001,63.4
Indiana,2002,63.2
Indiana,2003,61.2
Indiana,2004,62.2
Indiana,2005,63.0
Indiana,2006,63.3
Indiana,2007,63.8
Indiana,2008,61.4
Indiana,2009,61.1
Indiana,2010,63.1
Indiana,2011,62.8
Indiana,2012,66.2
Indiana,2013,61.1
Indiana,2014,59.5
Indiana,2015,62.5
Indiana,2016,64.3
Indiana,2017,64.2
Indiana,2018,62.3
Indiana,2019,62.4
Indiana,2020,63.3
Indiana,2021,63.5
Indiana,2022,62.8
Indiana,2023,65.0
Iowa,1974,58.2
Iowa,1975,57.8
Iowa,1976,59.4
Iowa,1977,59.3
Iowa,1978,55.9
Iowa,1979,55.7
Iowa,1980,58.9
Iowa,1981,60.0
Iowa,1982,56.1
Iowa,1983,57.2
Iowa,1984,58.1
Iowa,1985,56.5
Iowa,1986,58.5
Iowa,1987,61.9
Iowa,1988,60.8
Iowa,1989,57.9
Iowa,1990,60.2
Iowa,1991,58.8
Iowa,1992,57.7
Iowa,1993,54.8
Iowa,1994,58.1
Iowa,1995,57.1
Iowa,1996,55.3
Iowa,1997,57.1
Iowa,1998,60.3
Iowa,1999,60.3
Iowa,2000,59.3
Iowa,2001,59.3
Iowa,2002,59.9
Iowa,2003,58.9
Iowa,2004,58.9
Iowa,2005,60.1
Iowa,2006,60.8
Iowa,2007,59.0
Iowa,2008,56.1
Iowa,2009,56.9
Iowa,2010,58.4
Iowa,2011,58.6
Iowa,2012,63.6
Iowa,2013,56.9
Iowa,2014,55.7
Iowa,2015,59.5
Iowa,2016,60.6
Iowa,2017,60.4
Iowa,2018,57.2
Iowa,2019,56.5
Iowa,2020,59.5
Iowa,2021,60.4
Iowa,2022,58.7
Iowa,2023,61.3
Kansas,1974,67.0
Kansas,1975,66.2
Kansas,1976,67.9
Kansas,1977,68.0
Kansas,1978,65.2
Kansas,1979,64.9
Kansas,1980,68.0
Kansas,1981,68.2
Kansas,1982,65.4
Kansas,1983,64.5
Kansas,1984,66.2
Kansas,1985,64.4
Kansas,1986,68.6
Kansas,1987,67.5
Kansas,1988,68.0
Kansas,1989,66.3
Kansas,1990,68.2
Kansas,1991,68.3
Kansas,1992,65.8
Kansas,1993,63.1
Kansas,1994,67.6
Kansas,1995,66.4
Kansas,1996,65.7
Kansas,1997,65.6
Kansas,1998,68.0
Kansas,1999,68.6
Kansas,2000,68.3
Kansas,2001,68.4
Kansas,2002,68.0
Kansas,2003,67.6
Kansas,2004,67.2
Kansas,2005,68.2
Kansas,2006,70.2
Kansas,2007,66.9
Kansas,2008,65.9
Kansas,2009,65.9
Kansas,2010,67.4
Kansas,2011,68.3
Kansas,2012,72.1
Kansas,2013,66.3
Kansas,2014,66.4
Kansas,2015,68.7
Kansas,2016,70.0
Kansas,2017,69.3
Kansas,2018,67.1
Kansas,2019,65.7
Kansas,2020,68.3
Kansas,2021,68.8
Kansas,2022,69.0
Kansas,2023,69.4
Kentucky,1974,66.1
Kentucky,1975,66.4
Kentucky,1976,65.1
Kentucky,1977,65.9
Kentucky,1978,64.2
Kentucky,1979,64.0
Kentucky,1980,65.8
Kentucky,1981,65.4
Kentucky,1982,66.3
Kentucky,1983,65.9
Kentucky,1984,66.1
Kentucky,1985,65.5
Kentucky,1986,67.5
Kentucky,1987,68.0
Kentucky,1988,67.0
Kentucky,1989,65.1
Kentucky,1990,68.6
Kentucky,1991,68.0
Kentucky,1992,65.5
Kentucky,1993,65.6
Kentucky,1994,66.7
Kentucky,1995,66.5
Kentucky,1996,65.1
Kentucky,1997,65.2
Kentucky,1998,68.8
Kentucky,1999,69.4
Kentucky,2000,66.8
Kentucky,2001,68.0
Kentucky,2002,67.6
Kentucky,2003,65.6
Kentucky,2004,67.0
Kentucky,2005,67.8
Kentucky,2006,67.8
Kentucky,2007,69.4
Kentucky,2008,66.7
Kentucky,2009,65.8
Kentucky,2010,67.1
Kentucky,2011,67.6
Kentucky,2012,70.0
Kentucky,2013,65.5
Kentucky,2014,65.3
Kentucky,2015,67.4
Kentucky,2016,69.0
Kentucky,2017,68.7
Kentucky,2018,67.1
Kentucky,2019,68.5
Kentucky,2020,67.6
Kentucky,2021,67.6
Kentucky,2022,67.6
Kentucky,2023,69.3
Louisiana,1974,77.0
Louisiana,1975,76.6
Louisiana,1976,75.8
Louisiana,1977,76.9
Louisiana,1978,76.0
Louisiana,1979,75.1
Louisiana,1980,77.2
Louisiana,1981,77.1
Louisiana,1982,77.3
Louisiana,1983,74.8
Louisiana,1984,76.9
Louisiana,1985,76.7
Louisiana,1986,77.7
Louisiana,1987,77.1
Louisiana,1988,76.6
Louisiana,1989,75.7
Louisiana,1990,78.7
Louisiana,1991,76.6
Louisiana,1992,76.0
Louisiana,1993,76.0
Louisiana,1994,76.5
Louisiana,1995,77.5
Louisiana,1996,76.7
Louisiana,1997,76.1
Louisiana,1998,78.8
Louisiana,1999,79.3
Louisiana,2000,78.4
Louisiana,2001,77.1
Louisiana,2002,76.7
Louisiana,2003,76.8
Louisiana,2004,77.2
Louisiana,2005,78.4
Louisiana,2006,78.9
Louisiana,2007,77.7
Louisiana,2008,77.4
Louisiana,2009,77.0
Louisiana,2010,77.3
Louisiana,2011,79.0
Louisiana,2012,79.2
Louisiana,2013,76.5
Louisiana,2014,75.4
Louisiana,2015,78.2
Louisiana,2016,78.8
Louisiana,2017,78.6
Louisiana,2018,77.7
Louisiana,2019,77.8
Louisiana,2020,77.9
Louisiana,2021,77.1
Louisiana,2022,78.2
Louisiana,2023,80.3
Maine,1974,49.7
Maine,1975,51.3
Maine,1976,50.0
Maine,1977,50.5
Maine,1978,50.1
Maine,1979,51.2
Maine,1980,49.7
Maine,1981,51.5
Maine,1982,50.5
Maine,1983,52.0
Maine,1984,51.6
Maine,1985,50.5
Maine,1986,50.6
Maine,1987,51.5
Maine,1988,51.3
Maine,1989,50.0
Maine,1990,52.5
Maine,1991,52.3
Maine,1992,50.0
Maine,1993,50.7
Maine,1994,50.8
Maine,1995,51.4
Maine,1996,50.6
Maine,1997,50.1
Maine,1998,53.3
Maine,1999,54.3
Maine,2000,50.9
Maine,2001,53.5
Maine,2002,51.8
Maine,2003,50.7
Maine,2004,50.6
Maine,2005,51.9
Maine,2006,53.5
Maine,2007,51.1
Maine,2008,51.7
Maine,2009,50.9
Maine,2010,54.0
Maine,2011,52.6
Maine,2012,53.9
Maine,2013,51.8
Maine,2014,51.2
Maine,2015,51.6
Maine,2016,53.4
Maine,2017,52.4
Maine,2018,51.8
Maine,2019,50.7
Maine,2020,53.7
Maine,2021,54.1
Maine,2022,53.9
Maine,2023,53.7
Maryland,1974,64.6
Maryland,1975,64.3
Maryland,1976,63.8
Maryland,1977,64.2
Maryland,1978,62.6
Maryland,1979,62.8
Maryland,1980,63.8
Maryland,1981,63.3
Maryland,1982,63.8
Maryland,1983,64.3
Maryland,1984,64.0
Maryland,1985,65.0
Maryland,1986,64.9
Maryland,1987,65.1
Maryland,1988,64.3
Maryland,1989,63.2
Maryland,1990,67.1
Maryland,1991,67.1
Maryland,1992,63.1
Maryland,1993,64.2
Maryland,1994,64.8
Maryland,1995,64.5
Maryland,1996,62.8
Maryland,1997,64.4
Maryland,1998,67.2
Maryland,1999,66.4
Maryland,2000,64.4
Maryland,2001,66.0
Maryland,2002,66.7
Maryland,2003,63.3
Maryland,2004,64.7
Maryland,2005,65.2
Maryland,2006,66.8
Maryland,2007,66.0
Maryland,2008,65.6
Maryland,2009,64.2
Maryland,2010,65.9
Maryland,2011,66.4
Maryland,2012,67.7
Maryland,2013,64.3
Maryland,2014,63.6
Maryland,2015,65.5
Maryland,2016,66.5
Maryland,2017,66.5
Maryland,2018,65.1
Maryland,2019,66.4
Maryland,2020,66.9
Maryland,2021,66.7
Maryland,2022,66.1
Maryland,2023,67.7
Massachusetts,1974,57.4
Massachusetts,1975,58.0
Massachusetts,1976,57.2
Massachusetts,1977,57.3
Massachusetts,1978,56.2
Massachusetts,1979,57.5
Massachusetts,1980,57.1
Massachusetts,1981,57.5
Massachusetts,1982,57.3
Massachusetts,1983,58.6
Massachusetts,1984,58.2
Massachusetts,1985,57.6
Massachusetts,1986,57.4
Massachusetts,1987,57.8
Massachusetts,1988,57.8
Massachusetts,1989,56.9
Massachusetts,1990,59.8
Massachusetts,1991,60.1
Massachusetts,1992,56.4
Massachusetts,1993,57.7
Massachusetts,1994,58.1
Massachusetts,1995,58.0
Massachusetts,1996,57.0
Massachusetts,1997,57.4
Massachusetts,1998,60.2
Massachusetts,1999,60.4
Massachusetts,2000,57.4
Massachusetts,2001,59.7
Massachusetts,2002,59.5
Massachusetts,2003,56.8
Massachusetts,2004,57.4
Massachusetts,2005,58.5
Massachusetts,2006,59.8
Massachusetts,2007,58.5
Massachusetts,2008,58.6
Massachusetts,2009,57.4
Massachusetts,2010,60.2
Massachusetts,2011,59.5
Massachusetts,2012,61.2
Massachusetts,2013,58.8
Massachusetts,2014,57.8
Massachusetts,2015,59.2
Massachusetts,2016,60.8
Massachusetts,2017,59.3
Massachusetts,2018,58.8
Massachusetts,2019,58.4
Massachusetts,2020,60.8
Massachusetts,2021,60.2
Massachusetts,2022,60.8
Massachusetts,2023,60.9
Michigan,1974,53.3
Michigan,1975,54.5
Michigan,1976,53.5
Michigan,1977,54.2
Michigan,1978,52.8
Michigan,1979,52.2
Michigan,1980,52.7
Michigan,1981,54.0
Michigan,1982,53.2
Michigan,1983,54.3
Michigan,1984,54.3
Michigan,1985,53.2
Michigan,1986,54.2
Michigan,1987,56.9
Michigan,1988,55.2
Michigan,1989,53.0
Michigan,1990,55.8
Michigan,1991,55.9
Michigan,1992,52.7
Michigan,1993,52.8
Michigan,1994,54.2
Michigan,1995,53.9
Michigan,1996,52.3
Michigan,1997,53.2
Michigan,1998,58.3
Michigan,1999,56.9
Michigan,2000,55.1
Michigan,2001,56.5
Michigan,2002,55.4
Michigan,2003,54.2
Michigan,2004,54.5
Michigan,2005,56.2
Michigan,2006,56.7
Michigan,2007,56.2
Michigan,2008,54.1
Michigan,2009,53.7
Michigan,2010,56.9
Michigan,2011,55.3
Michigan,2012,58.7
Michigan,2013,53.7
Michigan,2014,51.6
Michigan,2015,55.3
Michigan,2016,57.0
Michigan,2017,55.8
Michigan,2018,54.5
Michigan,2019,53.3
Michigan,2020,56.0
Michigan,2021,57.2
Michigan,2022,54.9
Michigan,2023,56.8
Minnesota,1974,50.9
Minnesota,1975,50.7
Minnesota,1976,52.8
Minnesota,1977,51.7
Minnesota,1978,50.0
Minnesota,1979,48.1
Minnesota,1980,51.9
Minnesota,1981,53.2
Minnesota,1982,49.3
Minnesota,1983,50.9
Minnesota,1984,51.7
Minnesota,1985,49.4
Minnesota,1986,51.8
Minnesota,1987,56.1
Minnesota,1988,53.2
Minnesota,1989,50.6
Minnesota,1990,53.8
Minnesota,1991,52.2
Minnesota,1992,50.7
Minnesota,1993,48.9
Minnesota,1994,51.3
Minnesota,1995,50.3
Minnesota,1996,48.0
Minnesota,1997,50.7
Minnesota,1998,54.9
Minnesota,1999,54.1
Minnesota,2000,52.4
Minnesota,2001,53.4
Minnesota,2002,52.1
Minnesota,2003,52.4
Minnesota,2004,51.7
Minnesota,2005,53.3
Minnesota,2006,54.7
Minnesota,2007,52.8
Minnesota,2008,50.1
Minnesota,2009,50.3
Minnesota,2010,53.2
Minnesota,2011,52.3
Minnesota,2012,56.1
Minnesota,2013,49.5
Minnesota,2014,48.7
Minnesota,2015,53.8
Minnesota,2016,54.2
Minnesota,2017,52.8
Minnesota,2018,50.6
Minnesota,2019,48.9
Minnesota,2020,52.9
Minnesota,2021,55.0
Minnesota,2022,50.3
Minnesota,2023,54.1
Mississippi,1974,74.9
Mississippi,1975,74.3
Mississippi,1976,73.6
Mississippi,1977,74.9
Mississippi,1978,74.0
Mississippi,1979,72.6
Mississippi,1980,74.7
Mississippi,1981,75.0
Mississippi,1982,74.8
Mississippi,1983,72.6
Mississippi,1984,74.8
Mississippi,1985,74.1
Mississippi,1986,75.9
Mississippi,1987,75.4
Mississippi,1988,74.6
Mississippi,1989,73.3
Mississippi,1990,77.0
Mississippi,1991,74.9
Mississippi,1992,73.8
Mississippi,1993,73.6
Mississippi,1994,74.3
Mississippi,1995,75.0
Mississippi,1996,74.3
Mississippi,1997,73.7
Mississippi,1998,76.7
Mississippi,1999,77.2
Mississippi,2000,76.3
Mississippi,2001,75.1
Mississippi,2002,74.8
Mississippi,2003,74.3
Mississippi,2004,74.8
Mississippi,2005,75.8
Mississippi,2006,76.8
Mississippi,2007,76.7
Mississippi,2008,74.8
Mississippi,2009,74.4
Mississippi,2010,75.3
Mississippi,2011,76.1
Mississippi,2012,77.1
Mississippi,2013,73.9
Mississippi,2014,73.6
Mississippi,2015,76.0
Mississippi,2016,77.4
Mississippi,2017,76.6
Mississippi,2018,75.3
Mississippi,2019,76.0
Mississippi,2020,76.0
Mississippi,2021,75.4
