"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,417,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,679,398,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","106,968,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,550",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,215,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","92,340,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,600",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","201,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","14,573,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,250",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","55,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,500",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","512,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,468,631,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","43,971,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,590",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","10,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","600,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","487,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","42,223,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,670",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","15,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,148,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,650",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","462,000",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","518,612,000",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","31,431,000",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,800",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","387,000",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","26,548,000",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,860",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","75,000",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","4,883,000",""
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,510",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","120,000",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","142,528,000",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","8,964,000",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,470",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","120,000",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","8,964,000",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,470",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","200,000",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","246,169,000",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","15,985,000",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,990",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","193,000",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","15,459,000",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,010",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,000",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","526,000",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,510",""
"SURVEY","2023","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","143,000",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","193,107,000",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","10,972,000",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,670",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","120,000",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","9,960,000",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,300",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","23,000",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,012,000",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","4,400",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,080,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,320,842,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","80,051,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,410",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","990,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","73,557,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,430",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","89,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","6,444,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,240",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","50,000",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","252,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","906,223,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","22,103,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","8,770",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","441,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,300",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","218,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","19,664,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","9,020",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","1,998,000",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,400",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","412,000",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","466,701,000",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","27,453,000",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,660",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","366,000",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","24,449,000",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,680",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","46,000",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","3,004,000",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, MEDIUM GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","6,530",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE, SHORT GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2022","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","86,000",""
"SURVEY","2022","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","107,112,000",""
"SURVEY","2022","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","6,338,000",""
"SURVEY","2022","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,370",""
"SURVEY","2022","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE, LONG GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","86,000",""
"SURVEY","2022","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE, LONG GRAIN - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","6,338,000",""
"SURVEY","2022","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE, LONG GRAIN - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","7,370",""
