Year,State,Commodity,ACRES HARVESTED,"PRODUCTION, MEASURED IN $",YIELD,January-December Average Temperature (Units Degrees Fahrenheit),January-December Cooling Degree Days (Units Fahrenheit Degree-Days),January-December Heating Degree Days (Units Fahrenheit Degree-Days),January-December Maximum Temperature (Units Degrees Fahrenheit),January-December Minimum Temperature (Units Degrees Fahrenheit),August Palmer Drought Severity Index (PDSI),August Palmer Hydrological Drought Index (PHDI),August Palmer Modified Drought Index (PMDI),January-December Palmer Z-Index,January-December Precipitation (Units Inches)
1974,alabama,WHEAT,95000.0,2233000.0,23.5,63.1,1594.0,2517.0,75.0,51.2,1.99,1.99,1.99,0.68,60.4
1974,arizona,WHEAT,200000.0,13000000.0,65.0,59.5,2817.0,2282.0,73.9,45.1,-3.37,-3.37,-3.37,-0.67,10.99
1974,arkansas,WHEAT,330000.0,8745000.0,26.5,60.3,1437.0,3317.0,71.0,49.5,3.8,3.8,3.8,1.01,58.81
1974,california,WHEAT,750000.0,37500000.0,50.0,57.6,751.0,3300.0,70.2,45.1,-0.48,1.17,0.24,-0.12,21.35
1974,colorado,WHEAT,2900000.0,72625000.0,25.0,44.4,224.0,7459.0,58.6,30.2,-2.29,-2.29,-2.29,-0.67,14.61
1974,delaware,WHEAT,43000.0,1505000.0,35.0,54.6,817.0,4693.0,65.0,44.3,-0.74,-0.74,-0.74,-0.53,38.73
1974,florida,WHEAT,18000.0,324000.0,18.0,70.9,3282.0,573.0,82.0,59.8,1.42,1.42,1.42,-0.51,48.5
1974,georgia,WHEAT,150000.0,3525000.0,23.5,63.8,1405.0,2640.0,75.8,51.9,1.6,1.6,1.06,0.38,50.51
1974,idaho,WHEAT,1440000.0,61860000.0,43.0,43.0,409.0,7103.0,55.0,31.0,-1.92,-1.92,-1.92,-0.55,22.67
1974,illinois,WHEAT,1730000.0,51900000.0,30.0,51.6,673.0,6282.0,61.4,41.8,3.25,3.25,2.7,0.55,41.66
1974,indiana,WHEAT,1250000.0,46875000.0,37.5,51.3,705.0,5812.0,61.2,41.4,1.69,1.69,1.18,0.47,42.1
1974,iowa,WHEAT,62000.0,1860000.0,30.0,47.6,679.0,6981.0,58.2,37.1,2.92,2.92,2.56,0.21,31.98
1974,kansas,WHEAT,11600000.0,319000000.0,27.5,54.4,1304.0,5000.0,67.0,41.7,2.42,2.42,1.44,0.06,24.44
1974,kentucky,WHEAT,360000.0,11340000.0,31.5,55.5,858.0,4361.0,66.1,44.8,2.89,2.89,2.89,0.95,53.06
