"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","22,900",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","291,792,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","10,534,000",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","460",""
"SURVEY","2023","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","54,800",""
"SURVEY","2023","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","270,054,000",""
"SURVEY","2023","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","21,098,000",""
"SURVEY","2023","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","385",""
"SURVEY","2023","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","20,900",""
"SURVEY","2023","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","205,029,000",""
"SURVEY","2023","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","6,270,000",""
"SURVEY","2023","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","300",""
"SURVEY","2023","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","329,500",""
"SURVEY","2023","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,522,290,000",""
"SURVEY","2023","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","144,980,000",""
"SURVEY","2023","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","440",""
"SURVEY","2023","YEAR","","STATE","MAINE","23","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","52,600",""
"SURVEY","2023","YEAR","","STATE","MAINE","23","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","291,509,000",""
"SURVEY","2023","YEAR","","STATE","MAINE","23","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","17,884,000",""
"SURVEY","2023","YEAR","","STATE","MAINE","23","","","","","","","00000000","","POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","340",""
"SURVEY","2023","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","49,500",""
"SURVEY","2023","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","340,221,000",""
"SURVEY","2023","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","21,533,000",""
"SURVEY","2023","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","435",""
"SURVEY","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","45,600",""
"SURVEY","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","268,128,000",""
"SURVEY","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","18,240,000",""
"SURVEY","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED","400",""
"SURVEY","2023","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","POTATOES","POTATOES - ACRES HARVESTED","TOTAL","NOT SPECIFIED","21,900",""
"SURVEY","2023","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","POTATOES","POTATOES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","139,065,000",""
